model	robust_discovery_score	mean_shield_auprc	worst_shield_auprc	mean_shield_mcc	mean_precision_at_50	evaluated_shield_splits	missing_split_penalty	leakage_penalty
sequence_random_forest	0.8438689418877915	0.8666914320775125	0.766947623550066	0.34196358457005976	0.9711111111111111	9	0.0	0.0
counterfactual_mlp	0.7995398994239907	0.8268385035909189	0.6893750135009027	0.23118740325047218	0.9288888888888889	9	0.0	0.0
topology_only	0.7911317214063467	0.8067027983736087	0.6657867883376622	0.24890924442300472	0.9266666666666666	9	0.0	0.0
motif_only	0.7616642551646344	0.7840691038301804	0.6565824296466815	0.17481540377413263	0.8911111111111111	9	0.0	0.0
counterfactual_no_ptmchem_logistic	0.7471534171931332	0.7851912998423998	0.6806600679516752	0.17868436039768934	0.8288888888888889	9	0.0	0.0
counterfactual_logistic	0.7467463772782806	0.7844223057863914	0.6805972316832276	0.182948461747346	0.8266666666666667	9	0.0	0.0
sequence_logistic	0.724877238549056	0.7660536243978061	0.6719158461160415	0.143692299690112	0.7955555555555556	9	0.0	0.0
ptm_delta_only	0.6748856395942576	0.7179769178773068	0.6243982249659248	0.09162188968927877	0.7177777777777777	9	0.0	0.0
source_assay_only	0.6730569271664146	0.706328313305518	0.6150616387235589	0.06136438633146749	0.7488888888888889	9	0.0	0.0
