split_col	model	test_n	auprc	auroc	mcc	balanced_accuracy	ece	auprc_rank	mcc_rank
S2b_cold_interface_split	sequence_random_forest	573	0.8571121097709672	0.7265847010381024	0.320492817507358	0.6688003827640202	0.0536357513386638	1	1
S2b_cold_interface_split	counterfactual_mlp	573	0.8332563333773788	0.6889027431421446	0.2672286112173406	0.6361132053586963	0.1758202971796298	2	2
S2b_cold_interface_split	motif_only	573	0.7979209469270248	0.6453415878907383	0.1967071793848874	0.5991489300005799	0.214758237018381	3	4
S2b_cold_interface_split	ptm_cipher_lite_local	573	0.7881700801194893	0.6098126776083048	0.20209301889961762	0.5935597053876935		4	3
S2b_cold_interface_split	counterfactual_logistic	573	0.7816765169246016	0.6141187728353534	0.1625596068332658	0.5850055094821087	0.2748536410502324	5	6
S2b_cold_interface_split	counterfactual_no_ptmchem_logistic	573	0.7814873975406971	0.616032592936264	0.1728645072804312	0.5899930406541786	0.2737205569587609	6	5
S2b_cold_interface_split	topology_only	573	0.7780625947205854	0.601388969436873	0.1273123660954154	0.5465768717740532	0.1208739943524122	7	9
S2b_cold_interface_split	ptm_delta_only	573	0.7633562819489558	0.6067027199443251	0.1615854788776182	0.5771544974772371	0.2043184773935687	8	7
S2b_cold_interface_split	sequence_logistic	573	0.7576556046607469	0.5934147190164125	0.1429417630782203	0.5778939279707708	0.2588603895100679	9	8
S2b_cold_interface_split	source_assay_only	573	0.7445792854717096	0.5600461056660674	0.0311481586994591	0.5079162558719481	0.2070300252684151	10	10
S2b_cold_interface_split	class_prior	573	0.699825479930192	0.5	0.0	0.5	0.0061385169118879	11	11
